epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6315173506736755,0.7223796248435974,367.0,123.0,0.5626185536384583,0.01,0.11135857552289963,0.10790273547172546,1193.0,82.0,0.7565219402313232,0.7463672161102295,192.0,0.0,0.5374659299850464,0.3125,0.11150442808866501,565.0,0.0
1,0.8145989179611206,0.800566554069519,273.0,79.0,0.44279584288597107,0.01,0.3563474416732788,0.262158066034317,1237.0,176.0,0.7647308111190796,0.7503302693367004,189.0,0.0,0.5556613802909851,0.3489583432674408,0.17522123456001282,565.0,3.0
2,0.8807227611541748,0.8498583436012268,167.0,98.0,0.36111995577812195,0.01,0.5478841662406921,0.41489362716674805,1218.0,282.0,0.8741564750671387,0.6856010556221008,24.0,214.0,0.6175236105918884,0.6302083134651184,0.2867256700992584,351.0,168.0
3,0.942510724067688,0.8980169892311096,118.0,62.0,0.25406670570373535,0.01,0.7461024522781372,0.6785714030265808,1254.0,331.0,0.8968888521194458,0.8758256435394287,85.0,9.0,0.3398548662662506,0.6614583134651184,0.4477876126766205,556.0,107.0
4,0.9529806971549988,0.909915030002594,97.0,62.0,0.23111413419246674,0.01,0.788418710231781,0.7317629456520081,1254.0,352.0,0.8656849265098572,0.6446499228477478,16.0,253.0,0.6453667283058167,0.5260416865348816,0.4212389290332794,312.0,176.0
5,0.9814828038215637,0.9478753805160522,57.0,35.0,0.14303375780582428,0.01,0.9198217988014221,0.9057750701904297,1281.0,392.0,0.8974465727806091,0.8309115171432495,128.0,0.0,0.6539579629898071,0.6875,0.0,565.0,64.0
6,0.9735336303710938,0.9382436275482178,64.0,45.0,0.16672936081886292,0.01,0.8819599151611328,0.8882978558540344,1271.0,385.0,0.9289870858192444,0.8956406712532043,62.0,17.0,0.3648250997066498,0.7604166865348816,0.6725663542747498,548.0,130.0
7,0.9809176921844482,0.9484419226646423,52.0,39.0,0.1413862556219101,0.01,0.9198217988014221,0.9179331064224243,1277.0,397.0,0.9159753322601318,0.8903566598892212,72.0,11.0,0.37061527371406555,0.7552083134651184,0.0,554.0,120.0
8,0.9895224571228027,0.9682719707489014,37.0,19.0,0.0990552008152008,0.01,0.9665924310684204,0.968845009803772,1297.0,412.0,0.9321073293685913,0.9009246826171875,55.0,20.0,0.29890698194503784,0.75,0.6230088472366333,545.0,137.0
9,0.9865108132362366,0.9654390811920166,37.0,24.0,0.10746124386787415,0.01,0.9576837420463562,0.9635258316993713,1292.0,412.0,0.9234052896499634,0.8507265448570251,29.0,84.0,0.39350074529647827,0.6979166865348816,0.5522124171257019,481.0,163.0
10,0.993860125541687,0.980169951915741,21.0,14.0,0.07092177867889404,0.009995002,0.9799554347991943,0.990121603012085,1302.0,428.0,0.897616982460022,0.804491400718689,33.0,115.0,0.5025478601455688,0.65625,0.45486724376678467,450.0,159.0
11,0.9868348836898804,0.9620396494865417,42.0,25.0,0.11234991997480392,0.009989508,0.9443207383155823,0.9399695992469788,1291.0,407.0,0.9002950191497803,0.8824306726455688,56.0,33.0,0.3498744070529938,0.6979166865348816,0.35044246912002563,532.0,136.0
12,0.9948061108589172,0.977337121963501,23.0,17.0,0.06854206323623657,0.009983518,0.9799554347991943,0.9855623245239258,1299.0,426.0,0.8952801823616028,0.8309115171432495,36.0,92.0,0.5624741315841675,0.765625,0.0,473.0,156.0
13,0.9843183755874634,0.956373929977417,43.0,34.0,0.12964512407779694,0.009977033,0.9309576749801636,0.93313068151474,1282.0,406.0,0.9205614328384399,0.8797886371612549,30.0,61.0,0.42473655939102173,0.7239583134651184,0.5522124171257019,504.0,162.0
14,0.9956023097038269,0.9784702658653259,23.0,15.0,0.06844274699687958,0.009970054,0.9866369962692261,0.988601803779602,1301.0,426.0,0.836402952671051,0.8190224766731262,119.0,18.0,0.796766459941864,0.4739583432674408,0.0,547.0,73.0
15,0.9925466179847717,0.9711048007011414,30.0,21.0,0.08287578076124191,0.009962582,0.9710467457771301,0.978723406791687,1295.0,419.0,0.91362464427948,0.887714684009552,76.0,9.0,0.3961901366710663,0.7083333134651184,0.0,556.0,116.0
16,0.9985098838806152,0.9881019592285156,13.0,8.0,0.03979127109050751,0.009954618,0.9977728128433228,0.9954407215118408,1308.0,436.0,0.8988201022148132,0.8916776776313782,70.0,12.0,0.5505948662757874,0.7604166865348816,0.0,553.0,122.0
17,0.9997909665107727,0.9954674243927002,5.0,3.0,0.014043007045984268,0.009946164,1.0,0.9992401003837585,1313.0,444.0,0.9043741226196289,0.8678995966911316,38.0,62.0,0.5642891526222229,0.734375,0.0,503.0,154.0
18,0.9878858923912048,0.9705382585525513,32.0,20.0,0.10308939218521118,0.00993722,0.9643652439117432,0.9741641283035278,1296.0,417.0,0.8725156784057617,0.8758256435394287,79.0,15.0,0.5761315822601318,0.671875,0.0,550.0,113.0
19,0.9991986155509949,0.9909348487854004,11.0,5.0,0.028725672513246536,0.009927789,0.9977728128433228,0.9977203607559204,1311.0,438.0,0.8792266249656677,0.8982827067375183,62.0,15.0,0.8963193893432617,0.7604166865348816,0.0,550.0,130.0
20,0.9990429878234863,0.9932011365890503,6.0,6.0,0.025151381269097328,0.009917871,0.9977728128433228,0.996960461139679,1310.0,443.0,0.8315218687057495,0.8652576208114624,97.0,5.0,1.3193050622940063,0.6822916865348816,0.0,560.0,95.0
21,0.9973801374435425,0.9920679926872253,8.0,6.0,0.024306168779730797,0.009907468,0.9955456852912903,0.9984802603721619,1310.0,441.0,0.9206443428993225,0.8811096549034119,55.0,35.0,0.45852378010749817,0.65625,0.0,530.0,137.0
22,0.9970069527626038,0.9875354170799255,13.0,9.0,0.03201137110590935,0.009896582,0.993318498134613,0.9984802603721619,1307.0,436.0,0.8676437735557556,0.8560105562210083,50.0,59.0,0.5084688663482666,0.640625,0.0,506.0,142.0
23,0.9983161091804504,0.9886685609817505,11.0,9.0,0.035616517066955566,0.009885214,0.9977728128433228,0.9954407215118408,1307.0,438.0,0.8819966316223145,0.8943196535110474,62.0,18.0,0.6994196772575378,0.6927083134651184,0.0,547.0,130.0
24,0.9984709024429321,0.9915013909339905,9.0,6.0,0.02414734475314617,0.009873366,0.9977728128433228,1.0,1310.0,440.0,0.7978474497795105,0.8665785789489746,95.0,6.0,1.6452455520629883,0.6145833134651184,0.0,559.0,97.0
25,0.9982162117958069,0.9954674243927002,4.0,4.0,0.022101374343037605,0.00986104,0.9977728128433228,0.9992401003837585,1312.0,445.0,0.8544108867645264,0.8929986953735352,70.0,11.0,0.7813389897346497,0.7135416865348816,0.0,554.0,122.0
26,0.9969004392623901,0.9852691292762756,14.0,12.0,0.050292499363422394,0.009848237,0.9888641238212585,0.9916413426399231,1304.0,435.0,0.7961837649345398,0.8269484639167786,126.0,5.0,0.9847634434700012,0.578125,0.0,560.0,66.0
27,0.9986358880996704,0.9937676787376404,7.0,4.0,0.01876036636531353,0.00983496,0.9977728128433228,0.9992401003837585,1312.0,442.0,0.8556646108627319,0.8824306726455688,84.0,5.0,0.7406453490257263,0.6875,0.0,560.0,108.0
28,0.9991698861122131,0.9881019592285156,14.0,7.0,0.031343523412942886,0.00982121,0.9955456852912903,0.9977203607559204,1309.0,435.0,0.8695888519287109,0.8494055271148682,52.0,62.0,0.452539324760437,0.6458333134651184,0.36637169122695923,503.0,140.0
29,0.9985207915306091,0.9881019592285156,9.0,12.0,0.03532141074538231,0.00980699,1.0,0.9962006211280823,1304.0,440.0,0.8887076377868652,0.8731836080551147,80.0,16.0,0.4430610239505768,0.6354166865348816,0.0,549.0,112.0
30,0.9966651201248169,0.9807365536689758,22.0,12.0,0.05487874522805214,0.009792301,0.993318498134613,0.9916413426399231,1304.0,427.0,0.8789316415786743,0.8771466016769409,82.0,11.0,0.8513702750205994,0.7291666865348816,0.0,554.0,110.0
31,0.999927282333374,0.9954674243927002,2.0,6.0,0.013852397911250591,0.009777146,1.0,0.9992401003837585,1310.0,447.0,0.9181507229804993,0.9128137230873108,41.0,25.0,0.4628506302833557,0.8020833134651184,0.0,540.0,151.0
32,1.0,0.9994333982467651,0.0,1.0,0.002039372455328703,0.009761528,1.0,1.0,1315.0,449.0,0.9174455404281616,0.9088507294654846,53.0,16.0,0.5867605209350586,0.8229166865348816,0.0,549.0,139.0
33,1.0,1.0,0.0,0.0,0.0008353868033736944,0.009745448,1.0,1.0,1316.0,449.0,0.9204368591308594,0.9207397699356079,42.0,18.0,0.5461461544036865,0.8489583134651184,0.0,547.0,150.0
34,0.9999966621398926,0.998866856098175,1.0,1.0,0.002230903832241893,0.009728909,1.0,1.0,1315.0,448.0,0.8957825899124146,0.9035667181015015,60.0,13.0,0.6569019556045532,0.7708333134651184,0.0,552.0,132.0
35,0.999983012676239,0.998866856098175,1.0,1.0,0.004502167459577322,0.009711913,1.0,1.0,1315.0,448.0,0.8846101760864258,0.8929986953735352,64.0,17.0,0.7690024971961975,0.7291666865348816,0.0,548.0,128.0
36,0.9986883997917175,0.9960339665412903,5.0,2.0,0.01788911037147045,0.009694463,0.9977728128433228,1.0,1314.0,444.0,0.9193447232246399,0.9009246826171875,39.0,36.0,0.5502660274505615,0.7708333134651184,0.0,529.0,153.0
37,0.9999882578849792,0.998866856098175,1.0,1.0,0.004916279576718807,0.009676561,1.0,1.0,1315.0,448.0,0.9180908799171448,0.8956406712532043,45.0,34.0,0.5092090368270874,0.7135416865348816,0.0,531.0,147.0
38,0.9999475479125977,0.9960339665412903,4.0,3.0,0.009580697864294052,0.00965821,1.0,1.0,1313.0,445.0,0.8156388401985168,0.848084568977356,111.0,4.0,1.3507449626922607,0.65625,0.0,561.0,81.0
39,0.9993146061897278,0.9909348487854004,7.0,9.0,0.027485020458698273,0.009639413,0.9977728128433228,0.9984802603721619,1307.0,442.0,0.868639349937439,0.8745046257972717,71.0,24.0,0.6310579776763916,0.6458333134651184,0.0,541.0,121.0
40,0.9993500709533691,0.9937676787376404,7.0,4.0,0.019194843247532845,0.009620173,0.9977728128433228,0.9992401003837585,1312.0,442.0,0.929120659828186,0.9035667181015015,44.0,29.0,0.3958272635936737,0.7708333134651184,0.0,536.0,148.0
41,0.9999712109565735,0.9971671104431152,3.0,2.0,0.006543917581439018,0.009600492,1.0,1.0,1314.0,446.0,0.8824760913848877,0.8996037244796753,66.0,10.0,0.6456530094146729,0.765625,0.0,555.0,126.0
42,0.9999983906745911,0.9994333982467651,0.0,1.0,0.0017880800878629088,0.009580374,1.0,1.0,1315.0,449.0,0.9217321276664734,0.9128137230873108,48.0,18.0,0.480381041765213,0.78125,0.0,547.0,144.0
43,0.9999568462371826,0.9977337121963501,2.0,2.0,0.007150670513510704,0.00955982,1.0,1.0,1314.0,447.0,0.9084439873695374,0.9035667181015015,39.0,34.0,0.5168406963348389,0.7760416865348816,0.0,531.0,153.0
44,0.9986774325370789,0.9937676787376404,5.0,6.0,0.02124859020113945,0.009538835,0.9977728128433228,1.0,1310.0,444.0,0.8971930742263794,0.8626155853271484,45.0,59.0,0.5493278503417969,0.6510416865348816,0.0,506.0,147.0
45,0.9983921051025391,0.9926345348358154,9.0,4.0,0.025109345093369484,0.009517421,0.9977728128433228,0.9992401003837585,1312.0,440.0,0.9208562970161438,0.8573315739631653,29.0,79.0,0.5720118284225464,0.7708333134651184,0.5982300639152527,486.0,163.0
46,0.998799204826355,0.9971671104431152,2.0,3.0,0.009978880174458027,0.0094955815,0.9977728128433228,1.0,1313.0,447.0,0.9222574830055237,0.883751630783081,32.0,56.0,0.5758249163627625,0.765625,0.6035398244857788,509.0,160.0
47,0.9999755620956421,0.998866856098175,1.0,1.0,0.005025130230933428,0.009473319,1.0,1.0,1315.0,448.0,0.9026548266410828,0.9075297117233276,57.0,13.0,0.6710109710693359,0.765625,0.0,552.0,135.0
48,1.0000001192092896,1.0,0.0,0.0,0.0010531001025810838,0.009450638,1.0,1.0,1316.0,449.0,0.9037472009658813,0.9088507294654846,49.0,20.0,0.5746152997016907,0.78125,0.0,545.0,143.0
