thresholds,tpr,fpr,sens,spec
2.0,0.0,0.0,0.0,1.0
1.0,0.3020833333333333,0.0,0.3020833333333333,1.0
0.9999999,0.375,0.0017699115044247787,0.375,0.9982300884955753
0.99999976,0.3802083333333333,0.0017699115044247787,0.3802083333333333,0.9982300884955753
0.9999995,0.4114583333333333,0.005309734513274336,0.4114583333333333,0.9946902654867257
0.9999993,0.4166666666666667,0.005309734513274336,0.4166666666666667,0.9946902654867257
0.99999917,0.4322916666666667,0.005309734513274336,0.4322916666666667,0.9946902654867257
0.99999905,0.4375,0.005309734513274336,0.4375,0.9946902654867257
0.9999987,0.46875,0.005309734513274336,0.46875,0.9946902654867257
0.99998426,0.5833333333333334,0.005309734513274336,0.5833333333333334,0.9946902654867257
0.99998355,0.5833333333333334,0.007079646017699115,0.5833333333333334,0.9929203539823008
0.9999454,0.625,0.007079646017699115,0.625,0.9929203539823008
0.99990785,0.625,0.008849557522123894,0.625,0.9911504424778761
0.9998753,0.6354166666666666,0.008849557522123894,0.6354166666666666,0.9911504424778761
0.9998412,0.6354166666666666,0.012389380530973451,0.6354166666666666,0.9876106194690265
0.9998234,0.640625,0.012389380530973451,0.640625,0.9876106194690265
0.9997652,0.640625,0.017699115044247787,0.640625,0.9823008849557522
0.9996147,0.6510416666666666,0.017699115044247787,0.6510416666666666,0.9823008849557522
0.99938715,0.6510416666666666,0.019469026548672566,0.6510416666666666,0.9805309734513274
0.999132,0.65625,0.019469026548672566,0.65625,0.9805309734513274
0.9974873,0.65625,0.023008849557522124,0.65625,0.9769911504424779
0.99486804,0.6614583333333334,0.023008849557522124,0.6614583333333334,0.9769911504424779
0.9939219,0.6614583333333334,0.024778761061946902,0.6614583333333334,0.9752212389380531
0.99382174,0.6666666666666666,0.024778761061946902,0.6666666666666666,0.9752212389380531
0.993404,0.6666666666666666,0.02654867256637168,0.6666666666666666,0.9734513274336283
0.95852214,0.6875,0.02654867256637168,0.6875,0.9734513274336283
0.93895227,0.6875,0.03185840707964602,0.6875,0.968141592920354
0.9338011,0.6927083333333334,0.03185840707964602,0.6927083333333334,0.968141592920354
0.87010723,0.6927083333333334,0.035398230088495575,0.6927083333333334,0.9646017699115044
0.8384347,0.703125,0.035398230088495575,0.703125,0.9646017699115044
0.77129596,0.703125,0.03893805309734513,0.703125,0.9610619469026549
0.6522358,0.7239583333333334,0.03893805309734513,0.7239583333333334,0.9610619469026549
0.6342001,0.7239583333333334,0.04247787610619469,0.7239583333333334,0.9575221238938053
0.5568705,0.7291666666666666,0.04247787610619469,0.7291666666666666,0.9575221238938053
0.41822392,0.7291666666666666,0.04601769911504425,0.7291666666666666,0.9539823008849557
0.40818802,0.734375,0.04601769911504425,0.734375,0.9539823008849557
0.38997936,0.734375,0.047787610619469026,0.734375,0.952212389380531
0.38391933,0.7395833333333334,0.047787610619469026,0.7395833333333334,0.952212389380531
0.3634181,0.7395833333333334,0.049557522123893805,0.7395833333333334,0.9504424778761063
0.25661328,0.7447916666666666,0.049557522123893805,0.7447916666666666,0.9504424778761063
0.22006817,0.7447916666666666,0.05132743362831858,0.7447916666666666,0.9486725663716814
0.16194458,0.75,0.05132743362831858,0.75,0.9486725663716814
0.08625259,0.75,0.06017699115044248,0.75,0.9398230088495575
0.07016951,0.765625,0.06017699115044248,0.765625,0.9398230088495575
0.06886061,0.765625,0.061946902654867256,0.765625,0.9380530973451328
0.06723059,0.7708333333333334,0.061946902654867256,0.7708333333333334,0.9380530973451328
0.06393148,0.7708333333333334,0.06371681415929203,0.7708333333333334,0.9362831858407079
0.05956184,0.7760416666666666,0.06371681415929203,0.7760416666666666,0.9362831858407079
0.052330177,0.7760416666666666,0.06548672566371681,0.7760416666666666,0.9345132743362832
0.04342364,0.78125,0.06548672566371681,0.78125,0.9345132743362832
0.037371326,0.78125,0.07079646017699115,0.78125,0.9292035398230089
0.037065204,0.7864583333333334,0.07079646017699115,0.7864583333333334,0.9292035398230089
0.035866026,0.7864583333333334,0.0743362831858407,0.7864583333333334,0.9256637168141593
0.029480198,0.796875,0.0743362831858407,0.796875,0.9256637168141593
0.013986427,0.796875,0.08495575221238938,0.796875,0.9150442477876106
0.008411884,0.8177083333333334,0.08495575221238938,0.8177083333333334,0.9150442477876106
0.0058768494,0.8177083333333334,0.09380530973451327,0.8177083333333334,0.9061946902654867
0.0045965267,0.8229166666666666,0.09380530973451327,0.8229166666666666,0.9061946902654867
0.0038056618,0.8229166666666666,0.09557522123893805,0.8229166666666666,0.904424778761062
0.0035015445,0.8333333333333334,0.09557522123893805,0.8333333333333334,0.904424778761062
0.0024738326,0.8333333333333334,0.10619469026548672,0.8333333333333334,0.8938053097345133
0.0024593708,0.8385416666666666,0.10619469026548672,0.8385416666666666,0.8938053097345133
0.00082912017,0.8385416666666666,0.12389380530973451,0.8385416666666666,0.8761061946902655
0.0008157806,0.84375,0.12389380530973451,0.84375,0.8761061946902655
0.0003438873,0.84375,0.1592920353982301,0.84375,0.8407079646017699
0.0003352443,0.8489583333333334,0.1592920353982301,0.8489583333333334,0.8407079646017699
0.00033318886,0.8489583333333334,0.16106194690265488,0.8489583333333334,0.8389380530973451
0.0003213011,0.8541666666666666,0.16106194690265488,0.8541666666666666,0.8389380530973451
0.00022600386,0.8541666666666666,0.17168141592920355,0.8541666666666666,0.8283185840707965
0.00022206652,0.859375,0.17168141592920355,0.859375,0.8283185840707965
