thresholds,tpr,fpr,sens,spec
2.0,0.0,0.0,0.0,1.0
1.0,0.11023622047244094,0.0,0.11023622047244094,1.0
0.9999999,0.18110236220472442,0.0,0.18110236220472442,1.0
0.99999964,0.2125984251968504,0.0,0.2125984251968504,1.0
0.9999995,0.2204724409448819,0.0,0.2204724409448819,1.0
0.9999994,0.25196850393700787,0.0,0.25196850393700787,1.0
0.9999993,0.25984251968503935,0.0,0.25984251968503935,1.0
0.99999857,0.30708661417322836,0.0,0.30708661417322836,1.0
0.99999845,0.31496062992125984,0.0,0.31496062992125984,1.0
0.99999833,0.33070866141732286,0.0,0.33070866141732286,1.0
0.9999974,0.3543307086614173,0.0,0.3543307086614173,1.0
0.99999726,0.3700787401574803,0.0,0.3700787401574803,1.0
0.9999927,0.4409448818897638,0.0,0.4409448818897638,1.0
0.99999154,0.4409448818897638,0.0029411764705882353,0.4409448818897638,0.9970588235294118
0.9999672,0.5118110236220472,0.0029411764705882353,0.5118110236220472,0.9970588235294118
0.99996614,0.5118110236220472,0.0058823529411764705,0.5118110236220472,0.9941176470588236
0.9999546,0.5433070866141733,0.0058823529411764705,0.5433070866141733,0.9941176470588236
0.9999502,0.5433070866141733,0.014705882352941176,0.5433070866141733,0.9852941176470589
0.99923265,0.6377952755905512,0.014705882352941176,0.6377952755905512,0.9852941176470589
0.99921584,0.6377952755905512,0.01764705882352941,0.6377952755905512,0.9823529411764705
0.9989569,0.6535433070866141,0.01764705882352941,0.6535433070866141,0.9823529411764705
0.9988582,0.6535433070866141,0.020588235294117647,0.6535433070866141,0.9794117647058823
0.997062,0.6771653543307087,0.020588235294117647,0.6771653543307087,0.9794117647058823
0.9951674,0.6771653543307087,0.026470588235294117,0.6771653543307087,0.9735294117647059
0.9877067,0.7322834645669292,0.026470588235294117,0.7322834645669292,0.9735294117647059
0.9760184,0.7322834645669292,0.029411764705882353,0.7322834645669292,0.9705882352941176
0.97191185,0.7480314960629921,0.029411764705882353,0.7480314960629921,0.9705882352941176
