Features,Execution,AUC,Sens,Spec
features_SBP_HbA1c,1,0.9155,0.9531,0.3434
features_SBP_HbA1c,2,0.9323,0.9531,0.6372
features_SBP_HbA1c,3,0.9215,0.9531,0.4991
features_SBP_HbA1c,4,0.9013,0.9531,0.3451
features_SBP_HbA1c,5,0.9177,0.9583,0.3274
features_SBP_HbA1c,6,0.9294,0.9531,0.5434
features_SBP_HbA1c,7,0.9309,0.9531,0.4991
features_SBP_HbA1c,8,0.9063,0.9531,0.3310
features_SBP_HbA1c,9,0.9234,0.9531,0.5292
features_SBP_Insulin,0,0.9229,0.9531,0.5150
features_SBP_Insulin,1,0.9304,0.9531,0.5823
features_SBP_Insulin,2,0.9382,0.9531,0.6124
features_SBP_Insulin,3,0.9383,0.9531,0.5947
features_SBP_Insulin,4,0.9347,0.9531,0.6071
features_SBP_Insulin,5,0.9259,0.9531,0.5504
features_SBP_Insulin,6,0.9338,0.9583,0.6000
features_SBP_Insulin,7,0.9335,0.9583,0.5593
features_SBP_Insulin,8,0.9373,0.9531,0.5664
features_SBP_Insulin,9,0.9404,0.9531,0.7221
features_SBP_UAE,0,0.9479,0.9531,0.6513
features_SBP_UAE,1,0.9081,0.9531,0.4301
features_SBP_UAE,2,0.9297,0.9531,0.5522
features_SBP_UAE,3,0.9392,0.9531,0.5894
features_SBP_UAE,4,0.9199,0.9531,0.4566
features_SBP_UAE,5,0.9162,0.9531,0.4301
features_SBP_UAE,6,0.9049,0.9583,0.4442
features_SBP_UAE,7,0.9350,0.9531,0.6124
features_SBP_UAE,8,0.9181,0.9531,0.4531
features_SBP_UAE,9,0.9000,0.9531,0.4584
features_UAE_HbA1c,0,0.9218,0.9531,0.4195
features_UAE_HbA1c,1,0.9286,0.9531,0.4920
features_UAE_HbA1c,2,0.9309,0.9531,0.6106
features_UAE_HbA1c,3,0.9273,0.9531,0.5628
features_UAE_HbA1c,4,0.9319,0.9531,0.5221
features_UAE_HbA1c,5,0.9310,0.9531,0.5487
features_UAE_HbA1c,6,0.9411,0.9531,0.5257
features_UAE_HbA1c,7,0.9286,0.9531,0.6159
features_UAE_HbA1c,8,0.9174,0.9531,0.3876
features_UAE_HbA1c,9,0.9230,0.9531,0.4956
features_UAE_Insulin,0,0.9178,0.9531,0.4549
features_UAE_Insulin,1,0.9470,0.9531,0.6903
features_UAE_Insulin,2,0.9248,0.9531,0.6177
features_UAE_Insulin,3,0.9279,0.9531,0.5327
features_UAE_Insulin,4,0.9323,0.9583,0.5327
features_UAE_Insulin,5,0.9255,0.9531,0.5434
features_UAE_Insulin,6,0.9294,0.9531,0.5168
features_UAE_Insulin,7,0.9243,0.9531,0.5752
features_UAE_Insulin,8,0.9121,0.9531,0.4956
features_UAE_Insulin,9,0.9306,0.9531,0.5912
features_DM_Duration_HbA1c_Insulin,0,0.9232,0.9531,0.5381
features_DM_Duration_HbA1c_Insulin,1,0.9351,0.9531,0.6531
features_DM_Duration_HbA1c_Insulin,2,0.9291,0.9531,0.5540
features_DM_Duration_HbA1c_Insulin,3,0.9371,0.9531,0.6106
features_DM_Duration_HbA1c_Insulin,4,0.9317,0.9531,0.6655
features_DM_Duration_HbA1c_Insulin,5,0.9328,0.9531,0.5788
features_DM_Duration_HbA1c_Insulin,6,0.9462,0.9531,0.6708
features_DM_Duration_HbA1c_Insulin,7,0.9298,0.9531,0.5558
features_DM_Duration_HbA1c_Insulin,8,0.9513,0.9531,0.7257
features_DM_Duration_HbA1c_Insulin,9,0.9266,0.9531,0.5133
features_DM_Duration_SBP_HbA1c,0,0.9195,0.9531,0.4549
features_DM_Duration_SBP_HbA1c,1,0.9308,0.9531,0.6248
features_DM_Duration_SBP_HbA1c,2,0.9214,0.9531,0.5274
features_DM_Duration_SBP_HbA1c,3,0.9389,0.9531,0.5982
features_DM_Duration_SBP_HbA1c,4,0.9315,0.9531,0.6071
features_DM_Duration_SBP_HbA1c,5,0.9258,0.9531,0.5080
features_DM_Duration_SBP_HbA1c,6,0.9402,0.9531,0.6301
features_DM_Duration_SBP_HbA1c,7,0.9400,0.9583,0.6496
features_DM_Duration_SBP_HbA1c,8,0.9364,0.9531,0.6018
features_DM_Duration_SBP_HbA1c,9,0.9294,0.9531,0.5487
features_DM_Duration_SBP_Insulin,0,0.9386,0.9531,0.6035
features_DM_Duration_SBP_Insulin,1,0.9264,0.9531,0.5221
features_DM_Duration_SBP_Insulin,2,0.9473,0.9531,0.6177
features_DM_Duration_SBP_Insulin,3,0.9237,0.9531,0.4938
features_DM_Duration_SBP_Insulin,4,0.9275,0.9531,0.5381
features_DM_Duration_SBP_Insulin,5,0.9494,0.9531,0.7327
features_DM_Duration_SBP_Insulin,6,0.9416,0.9531,0.6584
features_DM_Duration_SBP_Insulin,7,0.9397,0.9531,0.6584
features_DM_Duration_SBP_Insulin,8,0.9413,0.9531,0.6655
features_DM_Duration_SBP_Insulin,9,0.9257,0.9531,0.4885
features_DM_Duration_SBP_UAE,0,0.9281,0.9531,0.6106
features_DM_Duration_SBP_UAE,1,0.9305,0.9531,0.6265
features_DM_Duration_SBP_UAE,2,0.9115,0.9531,0.4389
features_DM_Duration_SBP_UAE,3,0.9390,0.9531,0.6018
features_DM_Duration_SBP_UAE,4,0.9175,0.9531,0.3965
features_DM_Duration_SBP_UAE,5,0.9227,0.9531,0.5150
features_DM_Duration_SBP_UAE,6,0.9309,0.9531,0.5310
features_DM_Duration_SBP_UAE,7,0.9355,0.9531,0.6301
features_DM_Duration_SBP_UAE,8,0.9358,0.9531,0.5947
features_DM_Duration_SBP_UAE,9,0.9291,0.9531,0.5664
features_DM_Duration_UAE_HbA1c,0,0.9275,0.9531,0.5876
features_DM_Duration_UAE_HbA1c,1,0.9290,0.9531,0.5381
features_DM_Duration_UAE_HbA1c,2,0.9358,0.9531,0.6442
features_DM_Duration_UAE_HbA1c,3,0.9344,0.9531,0.6496
features_DM_Duration_UAE_HbA1c,4,0.9291,0.9531,0.5009
features_DM_Duration_UAE_HbA1c,5,0.9306,0.9583,0.5434
features_DM_Duration_UAE_HbA1c,6,0.9238,0.9531,0.4442
features_DM_Duration_UAE_HbA1c,7,0.9207,0.9531,0.5115
features_DM_Duration_UAE_HbA1c,8,0.9415,0.9531,0.6000
features_DM_Duration_UAE_HbA1c,9,0.9210,0.9531,0.5593
features_DM_Duration_UAE_Insulin,0,0.9380,0.9531,0.7009
features_DM_Duration_UAE_Insulin,1,0.9386,0.9531,0.6867
features_DM_Duration_UAE_Insulin,2,0.9301,0.9531,0.5558
features_DM_Duration_UAE_Insulin,3,0.9422,0.9531,0.6850
features_DM_Duration_UAE_Insulin,4,0.9175,0.9531,0.5186
features_DM_Duration_UAE_Insulin,5,0.9479,0.9531,0.7150
features_DM_Duration_UAE_Insulin,6,0.9326,0.9531,0.6496
features_DM_Duration_UAE_Insulin,7,0.9471,0.9531,0.6814
features_DM_Duration_UAE_Insulin,8,0.9418,0.9583,0.6814
features_DM_Duration_UAE_Insulin,9,0.9324,0.9531,0.5522
features_SBP_HbA1c_Insulin,0,0.9244,0.9583,0.5274
features_SBP_HbA1c_Insulin,1,0.9326,0.9531,0.5788
features_SBP_HbA1c_Insulin,2,0.9360,0.9531,0.5858
features_SBP_HbA1c_Insulin,3,0.9235,0.9531,0.5699
features_SBP_HbA1c_Insulin,4,0.9354,0.9531,0.6301
features_SBP_HbA1c_Insulin,5,0.9344,0.9583,0.6796
features_SBP_HbA1c_Insulin,6,0.9306,0.9531,0.5628
features_SBP_HbA1c_Insulin,7,0.9535,0.9531,0.7204
features_SBP_HbA1c_Insulin,8,0.9414,0.9531,0.5805
features_SBP_HbA1c_Insulin,9,0.9331,0.9635,0.5841
features_SBP_UAE_HbA1c,0,0.9288,0.9531,0.5398
features_SBP_UAE_HbA1c,1,0.9341,0.9531,0.6212
features_SBP_UAE_HbA1c,2,0.9323,0.9531,0.5522
features_SBP_UAE_HbA1c,3,0.9243,0.9531,0.4779
features_SBP_UAE_HbA1c,4,0.9346,0.9531,0.5646
features_SBP_UAE_HbA1c,5,0.9201,0.9531,0.4442
features_SBP_UAE_HbA1c,6,0.9357,0.9531,0.6195
features_SBP_UAE_HbA1c,7,0.9186,0.9583,0.5646
features_SBP_UAE_HbA1c,8,0.9152,0.9531,0.4814
features_SBP_UAE_HbA1c,9,0.9215,0.9531,0.5168
features_SBP_UAE_Insulin,0,0.9437,0.9531,0.6796
features_SBP_UAE_Insulin,1,0.9383,0.9531,0.5947
features_SBP_UAE_Insulin,2,0.9386,0.9531,0.5788
features_SBP_UAE_Insulin,3,0.9355,0.9531,0.6602
features_SBP_UAE_Insulin,4,0.9365,0.9531,0.5752
features_SBP_UAE_Insulin,5,0.9251,0.9531,0.5168
features_SBP_UAE_Insulin,6,0.9398,0.9531,0.6124
features_SBP_UAE_Insulin,7,0.9151,0.9531,0.4478
features_SBP_UAE_Insulin,8,0.9382,0.9531,0.6619
features_SBP_UAE_Insulin,9,0.9352,0.9531,0.5434
features_UAE_HbA1c_Insulin,0,0.9415,0.9531,0.6885
features_UAE_HbA1c_Insulin,1,0.9467,0.9531,0.6637
