Features,Execution,AUC,Sens,Spec
features_DM_Duration,0,0.9418,0.9528,0.7324
features_DM_Duration,1,0.9552,0.9528,0.7824
features_DM_Duration,2,0.9569,0.9528,0.8118
features_DM_Duration,3,0.9344,0.9528,0.7382
features_DM_Duration,4,0.9600,0.9528,0.8294
features_DM_Duration,5,0.9374,0.9528,0.5824
features_DM_Duration,6,0.9436,0.9528,0.7647
features_DM_Duration,7,0.9519,0.9528,0.7324
features_DM_Duration,8,0.9468,0.9528,0.7971
features_DM_Duration,9,0.9469,0.9528,0.7529
features_HbA1c,0,0.9497,0.9528,0.7500
features_HbA1c,1,0.9409,0.9528,0.7500
features_HbA1c,2,0.9533,0.9528,0.8294
features_HbA1c,3,0.9323,0.9528,0.5706
features_HbA1c,4,0.9362,0.9528,0.7059
features_HbA1c,5,0.9410,0.9528,0.7147
features_HbA1c,6,0.9431,0.9528,0.6529
features_HbA1c,7,0.9342,0.9528,0.6824
features_HbA1c,8,0.9334,0.9528,0.7529
features_HbA1c,9,0.9423,0.9606,0.7794
features_Insulin,0,0.9485,0.9528,0.7441
features_Insulin,1,0.9474,0.9528,0.7353
features_Insulin,2,0.9437,0.9528,0.7412
features_Insulin,3,0.9532,0.9528,0.7765
features_Insulin,4,0.9415,0.9528,0.7029
features_Insulin,5,0.9586,0.9528,0.8294
features_Insulin,6,0.9539,0.9528,0.7735
features_Insulin,7,0.9427,0.9528,0.7029
features_Insulin,8,0.9464,0.9528,0.6324
features_Insulin,9,0.9502,0.9528,0.7706
features_SBP,0,0.9363,0.9528,0.5088
features_SBP,1,0.9440,0.9528,0.7265
features_SBP,2,0.9564,0.9528,0.8265
features_SBP,3,0.9346,0.9528,0.6941
features_SBP,4,0.9467,0.9528,0.7088
features_SBP,5,0.9344,0.9606,0.6118
features_SBP,6,0.9528,0.9528,0.7588
features_SBP,7,0.9152,0.9528,0.5235
features_SBP,8,0.9513,0.9528,0.8088
features_SBP,9,0.9314,0.9606,0.5706
features_UAE,0,0.9599,0.9606,0.8235
features_UAE,1,0.9356,0.9528,0.6765
features_UAE,2,0.9348,0.9528,0.6147
features_UAE,3,0.9545,0.9528,0.8029
features_UAE,4,0.9387,0.9528,0.7029
features_UAE,5,0.9318,0.9528,0.6206
features_UAE,6,0.9392,0.9528,0.7265
features_UAE,7,0.9318,0.9528,0.7382
features_UAE,8,0.9390,0.9528,0.6588
features_UAE,9,0.9461,0.9528,0.7441
features_DM_Duration_HbA1c,0,0.9368,0.9528,0.6794
features_DM_Duration_HbA1c,1,0.9501,0.9528,0.7529
features_DM_Duration_HbA1c,2,0.9429,0.9528,0.7441
features_DM_Duration_HbA1c,3,0.9429,0.9528,0.7382
features_DM_Duration_HbA1c,4,0.9241,0.9528,0.5588
features_DM_Duration_HbA1c,5,0.9488,0.9528,0.7382
features_DM_Duration_HbA1c,6,0.9360,0.9528,0.6765
features_DM_Duration_HbA1c,7,0.9442,0.9528,0.7882
features_DM_Duration_HbA1c,8,0.9528,0.9528,0.7324
features_DM_Duration_HbA1c,9,0.9439,0.9528,0.7088
features_DM_Duration_Insulin,0,0.9635,0.9528,0.8029
features_DM_Duration_Insulin,1,0.9624,0.9528,0.8353
features_DM_Duration_Insulin,2,0.9248,0.9528,0.5559
features_DM_Duration_Insulin,3,0.9682,0.9528,0.8618
features_DM_Duration_Insulin,4,0.9563,0.9528,0.7735
features_DM_Duration_Insulin,5,0.9552,0.9528,0.7529
features_DM_Duration_Insulin,6,0.9616,0.9528,0.8235
features_DM_Duration_Insulin,7,0.9498,0.9528,0.7235
